Model,Method,Pattern,Instance,Correct,Answer
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_10_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_11_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_12_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_13_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_14_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_15_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_16_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_17_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_18_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_19_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_1_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_20_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_2_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_3_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_4_0,0,yes
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_5_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_6_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_7_0,0,yes
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_8_0,1,no
claude_haiku_4_5_20251001,zero-shot,ASd,claude_haiku_4_5_20251001_ASd_9_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_10_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_11_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_12_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_13_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_14_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_15_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_16_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_17_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_18_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_19_0,1,no
